AirCraftID,TailNum (Unique Aircraft identifier)
0,N712SW
1,N772SW
2,N428WN
3,N464WN
4,N726SW
5,N763SW
6,N690SW
7,N334SW
8,N263WN
9,N286WN
10,N778SW
11,N674AA
12,N643SW
13,N724SW
14,N786SW
15,N714CB
16,N394SW
17,N215WN
18,N243WN
19,N798SW
20,N247WN
21,N707SA
22,N443WN
23,N779SW
24,N704SW
25,N709SW
26,N459WN
27,N621SW
28,N206WN
29,N280WN
30,N241WN
31,N200WN
32,N475WN
33,N792SW
34,N252WN
35,N346SW
36,N299WN
37,N487WN
38,N479WN
39,N467WN
40,N521SW
41,N663SW
42,N376SW
43,N791SW
44,N392SW
45,N799SW
46,N618WN
47,N682SW
48,N509SW
49,N473WN
50,N351SW
51,N238WN
52,N499WN
53,N309SW
54,N245WN
55,N275WN
56,N271WN
57,N434WN
58,N619SW
59,N290WN
60,N383SW
61,N608SW
62,N626SW
63,N369SW
64,N396SW
65,N293
66,N409WN
67,N695SW
68,N220WN
69,N784SW
70,N244WN
71,N455WN
72,N297WN
73,N481WN
74,N203WN
75,N491WN
76,N480WN
77,N318SW
78,N647SW
79,N313SW
80,N352SW
81,N321SW
82,N660SW
83,N414WN
84,N408WN
85,N230WN
86,N761RR
87,N272WN
88,N335SW
89,N488WN
90,N496WN
91,N422WN
92,N404WN
93,N787SA
94,N617SW
95,N302SW
96,N676SW
97,N775SW
98,N449WN
99,N444WN
100,N764SW
101,N407WN
102,N232WN
103,N725SW
104,N745SW
105,N740SW
106,N405WN
107,N468WN
108,N201LV
109,N222WN
110,N282WN
111,N223WN
112,N281WN
113,N460WN
114,N679AA
115,N378SW
116,N248WN
117,N774SW
118,N627SW
119,N622SW
120,N217JC
121,N259WN
122,N301SW
123,N356SW
124,N742SW
125,N273WN
126,N466WN
127,N678AA
128,N258WN
129,N435WN
130,N484WN
131,N228WN
132,N747SA
133,N338SW
134,N603SW
135,N221WN
136,N777QC
137,N752SW
138,N790SW
139,N794SW
140,N715SW
141,N401WN
142,N448WN
143,N403WN
144,N267WN
145,N450WN
146,N400WN
147,N442WN
148,N610WN
149,N315SW
150,N692SW
151,N902WN
152,N734SA
153,N490WN
154,N646SW
155,N454WN
156,N298WN
157,N277WN
158,N350SW
159,N768SW
160,N634SW
161,N285WN
162,N431WN
163,N615SW
164,N602SW
165,N447WN
166,N492WN
167,N361SW
168,N429WN
169,N437WN
170,N306SW
171,N446WN
172,N395SW
173,N756SA
174,N766SW
175,N613SW
176,N385SW
177,N324SW
178,N632SW
179,N445WN
180,N418WN
181,N640SW
182,N264LV
183,N765SW
184,N472WN
185,N212WN
186,N600WN
187,N737JW
188,N314SW
189,N342SW
190,N489WN
191,N364SW
192,N424WN
193,N326SW
194,N708SA
195,N249WN
196,N236WN
197,N684WN
198,N667SW
199,N758SW
200,N262WN
201,N550WN
202,N730SW
203,N486WN
204,N494WN
205,N732SW
206,N683SW
207,N631SW
208,N268WN
209,N720WN
210,N648SW
211,N476WN
212,N224WN
213,N304SW
214,N402WN
215,N693SW
216,N465WN
217,N609SW
218,N269WN
219,N229WN
220,N718SW
221,N283WN
222,N637SW
223,N202WN
224,N288WN
225,N901WN
226,N738CB
227,N331SW
228,N687SW
229,N731SA
230,N642WN
231,N415WN
232,N311SW
233,N605SW
234,N671SW
235,N226WN
236,N384SW
237,N225WN
238,N629SW
239,N727SW
240,N416WN
241,N312SW
242,N451WN
243,N654SW
244,N506SW
245,N501SW
246,N520SW
247,N370SW
248,N240WN
249,N502SW
250,N522SW
251,N514SW
252,N339SW
253,N513SW
254,N379SW
255,N503SW
256,N527SW
257,N512SW
258,N333SW
259,N669SW
260,N227WN
261,N354SW
262,N511SW
263,N525SW
264,N628SW
265,N386SW
266,N650SW
267,N662SW
268,N661SW
269,N353SW
270,N528SW
271,N399WN
272,N507SW
273,N728SW
274,N310SW
275,N391SW
276,N639SW
277,N213WN
278,N677AA
279,N636WN
280,N504SW
281,N387SW
282,N208WN
283,N390SW
284,N463WN
285,N204WN
286,N706SW
287,N365SW
288,N785SW
289,N235WN
290,N625SW
291,N713SW
292,N425LV
293,N419WN
294,N216WR
295,N294WN
296,N470WN
297,N366SW
298,N638SW
299,N657SW
300,N659SW
301,N412WN
302,N438WN
303,N469WN
304,N780SW
305,N739GB
306,N462WN
307,N355SW
308,N456WN
309,N743SW
310,N276WN
311,N242WN
312,N439WN
313,N672SW
314,N694SW
315,N266WN
316,N218WN
317,N388SW
318,N457WN
319,N291WN
320,N325SW
321,N305SW
322,N767SW
