Date,Month,DayofMonth
2008-01-03,1,3
2008-01-04,1,4
2008-01-05,1,5
2008-01-06,1,6
2008-01-07,1,7
2008-01-08,1,8
2008-01-09,1,9
2008-01-10,1,10
2008-01-11,1,11
2008-01-12,1,12
2008-01-13,1,13
2008-01-14,1,14
2008-01-15,1,15
2008-01-16,1,16
2008-01-17,1,17
2008-01-18,1,18
2008-01-19,1,19
2008-01-20,1,20
2008-01-21,1,21
2008-01-22,1,22
2008-01-23,1,23
2008-01-24,1,24
2008-01-25,1,25
2008-01-26,1,26
2008-01-27,1,27
2008-01-28,1,28
2008-01-29,1,29
2008-01-30,1,30
2008-01-31,1,31
2008-01-02,1,2
2008-01-01,1,1
2008-02-02,2,2
2008-02-03,2,3
2008-02-04,2,4
2008-02-05,2,5
2008-02-06,2,6
2008-02-07,2,7
2008-02-08,2,8
2008-02-09,2,9
2008-02-10,2,10
2008-02-11,2,11
2008-02-12,2,12
2008-02-13,2,13
2008-02-14,2,14
2008-02-15,2,15
2008-02-16,2,16
2008-02-17,2,17
2008-02-18,2,18
2008-02-19,2,19
2008-02-20,2,20
2008-02-21,2,21
2008-02-22,2,22
2008-02-23,2,23
2008-02-24,2,24
2008-02-25,2,25
2008-02-26,2,26
2008-02-27,2,27
2008-02-28,2,28
2008-02-29,2,29
2008-02-01,2,1
2008-03-03,3,3
2008-03-04,3,4
2008-03-05,3,5
2008-03-06,3,6
2008-03-07,3,7
2008-03-08,3,8
2008-03-09,3,9
2008-03-10,3,10
2008-03-11,3,11
2008-03-12,3,12
2008-03-13,3,13
2008-03-14,3,14
2008-03-15,3,15
2008-03-16,3,16
2008-03-17,3,17
2008-03-18,3,18
2008-03-19,3,19
2008-03-20,3,20
2008-03-21,3,21
2008-03-22,3,22
2008-03-23,3,23
2008-03-24,3,24
2008-03-25,3,25
2008-03-26,3,26
2008-03-27,3,27
2008-03-28,3,28
2008-03-29,3,29
2008-03-30,3,30
2008-03-31,3,31
2008-03-01,3,1
2008-03-02,3,2
2008-04-03,4,3
2008-04-04,4,4
2008-04-05,4,5
2008-04-06,4,6
2008-04-07,4,7
2008-04-08,4,8
2008-04-09,4,9
2008-04-10,4,10
2008-04-11,4,11
2008-04-12,4,12
2008-04-13,4,13
2008-04-14,4,14
2008-04-15,4,15
2008-04-16,4,16
2008-04-17,4,17
2008-04-18,4,18
2008-04-19,4,19
2008-04-20,4,20
2008-04-21,4,21
2008-04-22,4,22
2008-04-23,4,23
2008-04-24,4,24
2008-04-25,4,25
2008-04-26,4,26
2008-04-27,4,27
2008-04-28,4,28
2008-04-29,4,29
2008-04-30,4,30
2008-04-01,4,1
2008-04-02,4,2
2008-05-03,5,3
2008-05-04,5,4
2008-05-05,5,5
2008-05-06,5,6
2008-05-07,5,7
2008-05-08,5,8
2008-05-09,5,9
2008-05-10,5,10
2008-05-11,5,11
