FlightNum,UniqueCarrier (Airline),Origin,Dest,Distance
0,WN,IAD,TPA,810
1,WN,IND,BWI,515
2,WN,IND,JAX,688
3,WN,IND,LAS,1591
4,WN,IND,MCO,828
5,WN,IND,MDW,162
6,WN,IND,PHX,1489
7,WN,IND,TPA,838
8,WN,ISP,BWI,220
9,WN,ISP,FLL,1093
10,WN,ISP,MCO,972
11,WN,ISP,MDW,765
12,WN,ISP,PBI,1052
13,WN,ISP,RSW,1101
14,WN,ISP,TPA,1034
15,WN,JAN,BWI,888
16,WN,JAN,HOU,359
17,WN,JAN,MCO,587
18,WN,JAN,MDW,666
19,WN,JAX,BHM,365
20,WN,JAX,BNA,484
21,WN,JAX,FLL,318
22,WN,JAX,HOU,816
23,WN,JAX,IND,688
24,WN,JAX,PHL,742
25,WN,JAX,TPA,180
26,WN,LAS,ABQ,487
27,WN,LAS,ALB,2237
28,WN,LAS,AMA,758
29,WN,LAS,AUS,1090
30,WN,LAS,BDL,2298
31,WN,LAS,BNA,1588
32,WN,LAS,BOI,520
33,WN,LAS,BUF,1987
34,WN,LAS,BUR,223
35,WN,LAS,BWI,2106
36,WN,LAS,CLE,1825
37,WN,LAS,CMH,1772
38,WN,LAS,DEN,629
39,WN,LAS,ELP,584
40,WN,LAS,GEG,806
41,WN,LAS,HOU,1235
42,WN,LAS,IAD,2066
43,WN,LAS,IND,1591
44,WN,LAS,ISP,2283
45,WN,LAS,LAX,236
46,WN,LAS,LBB,775
47,WN,LAS,LIT,1295
48,WN,LAS,MAF,796
49,WN,LAS,MCI,1140
50,WN,LAS,MCO,2039
51,WN,LAS,MDW,1521
52,WN,LAS,MHT,2356
53,WN,LAS,MSY,1501
54,WN,LAS,OAK,407
55,WN,LAS,OKC,987
56,WN,LAS,OMA,1099
57,WN,LAS,ONT,197
58,WN,LAS,ORF,2155
59,WN,LAS,PDX,762
60,WN,LAS,PHL,2176
61,WN,LAS,PHX,256
62,WN,LAS,PIT,1910
63,WN,LAS,PVD,2363
64,WN,LAS,RDU,2027
65,WN,LAS,RNO,345
66,WN,LAS,SAN,258
67,WN,LAS,SAT,1069
68,WN,LAS,SDF,1624
69,WN,LAS,SEA,866
70,WN,LAS,SFO,414
71,WN,LAS,SJC,386
72,WN,LAS,SLC,368
73,WN,LAS,SMF,397
74,WN,LAS,SNA,226
75,WN,LAS,STL,1372
76,WN,LAS,TPA,1984
77,WN,LAS,TUL,1076
78,WN,LAS,TUS,365
79,WN,LAX,ABQ,677
80,WN,LAX,AUS,1242
81,WN,LAX,BNA,1797
82,WN,LAX,ELP,714
83,WN,LAX,HOU,1390
84,WN,LAX,LAS,236
85,WN,LAX,MCI,1363
86,WN,LAX,MDW,1750
87,WN,LAX,OAK,337
88,WN,LAX,PHX,370
89,WN,LAX,RNO,390
90,WN,LAX,SAT,1210
91,WN,LAX,SFO,337
92,WN,LAX,SJC,308
93,WN,LAX,SLC,590
94,WN,LAX,SMF,373
95,WN,LAX,STL,1593
96,WN,LAX,TUS,451
97,WN,LBB,AUS,341
98,WN,LBB,DAL,293
99,WN,LIT,BWI,912
100,WN,LIT,DAL,296
101,WN,LIT,HOU,393
102,WN,LIT,LAS,1295
103,WN,LIT,MDW,544
104,WN,LIT,STL,296
105,WN,MAF,ABQ,332
106,WN,MAF,AUS,294
107,WN,MAF,DAL,319
108,WN,MAF,HOU,441
109,WN,MAF,LAS,796
110,WN,MCI,ABQ,718
111,WN,MCI,BNA,491
112,WN,MCI,BWI,967
113,WN,MCI,DAL,461
114,WN,MCI,DEN,533
115,WN,MCI,IND,451
116,WN,MCI,LAS,1140
117,WN,MCI,LAX,1363
118,WN,MCI,MCO,1072
119,WN,MCI,MDW,405
120,WN,MCI,OAK,1489
121,WN,MCI,OKC,313
122,WN,MCI,PDX,1481
123,WN,MCI,PHX,1044
124,WN,MCI,SAN,1333
125,WN,MCI,SEA,1489
126,WN,MCI,SMF,1442
127,WN,MCI,STL,237
128,WN,MCI,TPA,1048
129,WN,MCI,TUL,223
130,WN,MCO,ABQ,1552
131,WN,MCO,ALB,1073
132,WN,MCO,AUS,993
133,WN,MCO,BDL,1050
134,WN,MCO,BHM,478
135,WN,MCO,BNA,616
136,WN,MCO,BUF,1011
137,WN,MCO,BWI,787
138,WN,MCO,CLE,895
139,WN,MCO,CMH,802
140,WN,MCO,DEN,1545
141,WN,MCO,DTW,957
142,WN,MCO,FLL,178
143,WN,MCO,HOU,848
144,WN,MCO,IAD,758
145,WN,MCO,IND,828
146,WN,MCO,ISP,972
147,WN,MCO,JAN,587
148,WN,MCO,LAS,2039
149,WN,MCO,MCI,1072
150,WN,MCO,MDW,989
151,WN,MCO,MHT,1142
152,WN,MCO,MSY,550
153,WN,MCO,ORF,655
154,WN,MCO,PHL,861
155,WN,MCO,PHX,1848
156,WN,MCO,PIT,834
157,WN,MCO,PVD,1073
158,WN,MCO,RDU,534
159,WN,MCO,RSW,133
160,WN,MCO,SAT,1040
161,WN,MCO,SDF,718
162,WN,MCO,STL,880
163,WN,MDW,ABQ,1121
164,WN,MDW,ALB,717
165,WN,MDW,AUS,972
166,WN,MDW,BDL,777
167,WN,MDW,BHM,570
168,WN,MDW,BNA,395
169,WN,MDW,BUF,468
170,WN,MDW,BWI,611
171,WN,MDW,CLE,307
172,WN,MDW,CMH,284
173,WN,MDW,DEN,895
174,WN,MDW,DTW,229
175,WN,MDW,FLL,1166
176,WN,MDW,HOU,937
177,WN,MDW,IAD,577
178,WN,MDW,IND,162
179,WN,MDW,ISP,765
180,WN,MDW,JAN,666
181,WN,MDW,LAS,1521
182,WN,MDW,LAX,1750
183,WN,MDW,LIT,544
184,WN,MDW,MCI,405
185,WN,MDW,MCO,989
186,WN,MDW,MHT,838
187,WN,MDW,MSY,825
188,WN,MDW,OAK,1844
189,WN,MDW,OMA,423
190,WN,MDW,ORF,704
191,WN,MDW,PDX,1751
192,WN,MDW,PHL,668
193,WN,MDW,PHX,1444
194,WN,MDW,PIT,402
195,WN,MDW,PVD,842
196,WN,MDW,RDU,632
197,WN,MDW,RNO,1680
198,WN,MDW,RSW,1105
199,WN,MDW,SAN,1728
200,WN,MDW,SAT,1036
201,WN,MDW,SDF,271
202,WN,MDW,SEA,1733
203,WN,MDW,SFO,1855
204,WN,MDW,SJC,1838
205,WN,MDW,SLC,1258
206,WN,MDW,SMF,1790
207,WN,MDW,STL,251
208,WN,MDW,TPA,997
209,WN,MDW,TUS,1440
210,WN,MHT,BWI,377
211,WN,MHT,LAS,2356
212,WN,MHT,MCO,1142
213,WN,MHT,MDW,838
214,WN,MHT,PHL,290
215,WN,MHT,PHX,2279
216,WN,MHT,TPA,1204
217,WN,MSY,BHM,321
218,WN,MSY,BWI,998
219,WN,MSY,DAL,437
220,WN,MSY,FLL,673
221,WN,MSY,HOU,303
222,WN,MSY,LAS,1501
223,WN,MSY,MCO,550
224,WN,MSY,MDW,825
225,WN,MSY,PHX,1301
226,WN,MSY,TPA,487
227,WN,OAK,ABQ,889
228,WN,OAK,BNA,1959
229,WN,OAK,BOI,511
230,WN,OAK,BUR,325
231,WN,OAK,DEN,957
232,WN,OAK,GEG,723
233,WN,OAK,HOU,1642
234,WN,OAK,LAS,407
235,WN,OAK,LAX,337
236,WN,OAK,MCI,1489
237,WN,OAK,MDW,1844
238,WN,OAK,ONT,361
239,WN,OAK,PDX,543
240,WN,OAK,PHX,646
241,WN,OAK,RNO,180
242,WN,OAK,SAN,446
243,WN,OAK,SEA,671
244,WN,OAK,SLC,588
245,WN,OAK,SNA,371
246,WN,OAK,TUS,747
247,WN,OKC,BWI,1180
248,WN,OKC,DAL,181
249,WN,OKC,DEN,495
250,WN,OKC,HOU,419
251,WN,OKC,LAS,987
252,WN,OKC,MCI,313
253,WN,OKC,PHX,833
254,WN,OKC,STL,462
255,WN,OMA,LAS,1099
256,WN,OMA,MDW,423
257,WN,OMA,PHX,1037
258,WN,OMA,STL,342
259,WN,ONT,BNA,1751
260,WN,ONT,LAS,197
261,WN,ONT,OAK,361
262,WN,ONT,PHX,325
263,WN,ONT,SJC,333
264,WN,ONT,SMF,389
265,WN,ORF,BWI,159
266,WN,ORF,JAX,543
267,WN,ORF,LAS,2155
268,WN,ORF,MCO,655
269,WN,ORF,MDW,704
